"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Common dolphinfish","Eukaryota","Chordata","Actinopterygii","Carangiformes","Coryphaenidae","Coryphaena","Coryphaena hippurus"
"Coastrange sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus aleuticus"
"Prickly sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus asper"
"Mottled sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus bairdii"
"Paiute sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus beldingii"
"Shorthead sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus confusus"
"Riffle sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus gulosus"
"Marbled sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus klamathensis"
"Margined sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus marginatus"
"Reticulate sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus perplexus"
"Pit sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus pitensis"
"Klamath Lake sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus princeps"
"Torrent sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus rhotheus"
"Slender sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Cottus","Cottus tenuis"
"Yellow rail","Eukaryota","Chordata","Aves","Gruiformes","Rallidae","Coturnicops","Coturnicops noveboracensis"
"Lake chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Couesius","Couesius plumbeus"
"Northern Pacific rattlesnake","Eukaryota","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus oreganus"
"Great Basin collared lizard","Eukaryota","Chordata","Reptilia","Squamata","Crotaphytidae","Crotaphytus","Crotaphytus bicinctores"
"Grass carp","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Xenocyprididae","Ctenopharyngodon","Ctenopharyngodon idella"
"Blue jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata"
"Steller's jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri"
"Trumpeter swan","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus buccinator"
"Tundra swan","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus"
"Whooper swan","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus cygnus"
"Shiner surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","Cymatogaster aggregata"
"Broad-billed hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Cynanthus","Cynanthus latirostris"
"Common carp","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"Black swift","Eukaryota","Chordata","Aves","Apodiformes","Apodidae","Cypseloides","Cypseloides niger"
"Short-beaked common dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Delphinus","Delphinus delphis"
"Lost River sucker","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Catostomidae","Deltistes","Deltistes luxatus"
"Sooty grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus"
"Dusky grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Dendragapus","Dendragapus obscurus"
"Black-bellied whistling-duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis"
"Fulvous whistling-duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna bicolor"
"Leatherback turtle","Eukaryota","Chordata","Reptilia","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea"
"Ringneck snake","Eukaryota","Chordata","Reptilia","Squamata","Dipsadidae","Diadophis","Diadophis punctatus"
"Cope's giant salamander","Eukaryota","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon","Dicamptodon copei"
"Coastal giant salamander","Eukaryota","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon","Dicamptodon tenebrosus"
"Virginia opossum","Eukaryota","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
"Wandering albatross","Eukaryota","Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea exulans"
"California kangaroo rat","Eukaryota","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys californicus"
"Chisel-toothed kangaroo rat","Eukaryota","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys microps"
"Ord's kangaroo rat","Eukaryota","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys ordii"
"Bobolink","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx","Dolichonyx oryzivorus"
"Nuttall's woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates nuttallii"
"Downy woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates pubescens"
"Pileated woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus"
"Gray catbird","Eukaryota","Chordata","Aves","Passeriformes","Mimidae","Dumetella","Dumetella carolinensis"
"Little blue heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta caerulea"
"Snowy egret","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula"
"Tricolored heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta tricolor"
"White-tailed kite","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus leucurus"
"Northern alligator lizard","Eukaryota","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria coerulea"
"Southern alligator lizard","Eukaryota","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria multicarinata"
"Little bunting","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza pusilla"
"Rustic bunting","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Emberiza","Emberiza rustica"
"Striped surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","Embiotoca lateralis"
"Alder flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax alnorum"
"Pacific-slope flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax difficilis"
"Yellow-bellied flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax flaviventris"
"Hammond's flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax hammondii"
"Least flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax minimus"
"Dusky flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax oberholseri"
"Cordilleran flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax occidentalis"
"Willow flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax traillii"
"Gray flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax wrightii"
"Northern anchovy","Eukaryota","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"Buffalo sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Enophrys","Enophrys bison"
"Ensatina","Eukaryota","Chordata","Amphibia","Caudata","Plethodontidae","Ensatina","Ensatina eschscholtzii"
"Pit-Klamath brook lamprey","Eukaryota","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus lethophagus"
"Pacific lamprey","Eukaryota","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus"
"Petrale sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta jordani"
"Big brown bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus fuscus"
"Horned lark","Eukaryota","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","Eremophila alpestris"
"Common porcupine","Eukaryota","Chordata","Mammalia","Rodentia","Erethizontidae","Erethizon","Erethizon dorsatum"
"Gray whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Eschrichtiidae","Eschrichtius","Eschrichtius robustus"
"Spotted bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Euderma","Euderma maculatum"
"White ibis","Eukaryota","Chordata","Aves","Pelecaniformes","Threskiornithidae","Eudocimus","Eudocimus albus"
"Steller sea lion","Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Eumetopias","Eumetopias jubatus"
"Rusty blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Euphagus","Euphagus carolinus"
"Brewer's blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus"
"Spruce grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Falcipennis","Falcipennis canadensis"
"Merlin","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco columbarius"
"Prairie falcon","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco mexicanus"
"Peregrine falcon","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Gyrfalcon","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco rusticolus"
"American kestrel","Eukaryota","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius"
"Tufted puffin","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula cirrhata"
"Horned puffin","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula corniculata"
"Magnificent frigatebird","Eukaryota","Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata magnificens"
"Brambling","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla montifringilla"
"American coot","Eukaryota","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica americana"
"Northern fulmar","Eukaryota","Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","Fulmarus glacialis"
"Banded killifish","Eukaryota","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus"
"Walleye pollock","Eukaryota","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus"
"Pacific cod","Eukaryota","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus"
"Soupfin shark","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus"
"Wilson's snipe","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago delicata"
"Common gallinule","Eukaryota","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula galeata"
"Long-nosed leopard lizard","Eukaryota","Chordata","Reptilia","Squamata","Crotaphytidae","Gambelia","Gambelia wislizenii"
"Mosquitofish","Eukaryota","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"Three-spine stickleback","Eukaryota","Chordata","Actinopterygii","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"Yellow-billed loon","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia adamsii"
"Arctic loon","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia arctica"
"Common loon","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer"
"Pacific loon","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia pacifica"
"Red-throated loon","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata"
"Greater roadrunner","Eukaryota","Chordata","Aves","Cuculiformes","Neomorphidae","Geococcyx","Geococcyx californianus"
"Kentucky warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis formosa"
"Mourning warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis philadelphia"
"MacGillivray's warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis tolmiei"
"Common yellowthroat","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas"
"Blue chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Gila","Gila coerulea"
"Northern pygmy owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium gnoma"
"Humboldt's flying squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Glaucomys","Glaucomys oregonensis"
"Northern flying squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Glaucomys","Glaucomys sabrinus"
"Short-finned pilot whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Globicephala","Globicephala macrorhynchus"
"Rex sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus"
"Risso's dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Grampus","Grampus griseus"
"Common crane","Eukaryota","Chordata","Aves","Gruiformes","Gruidae","Grus","Grus grus"
"Wolverine","Eukaryota","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Gulo gulo"
"California condor","Eukaryota","Chordata","Aves","Accipitriformes","Cathartidae","Gymnogyps","Gymnogyps californianus"
"Pinyon jay","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus"
"Black oystercatcher","Eukaryota","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus bachmani"
"Cassin's finch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii"
"House finch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"Purple finch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous purpureus"
"Bald eagle","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus"
"Worm-eating warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Helmitheros","Helmitheros vermivorum"
"Red Irish lord","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus hemilepidotus"
"Brown Irish lord","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus spinosus"
"California roach","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Hesperoleucus","Hesperoleucus symmetricus"
"Western gray squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Hesperosciurus","Hesperosciurus griseus"
"Kelp greenling","Eukaryota","Chordata","Actinopterygii","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus"
"Rock greenling","Eukaryota","Chordata","Actinopterygii","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos lagocephalus"
"Whitespotted greenling","Eukaryota","Chordata","Actinopterygii","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos stelleri"
"Sixgill shark","Eukaryota","Chordata","Chondrichthyes","Hexanchiformes","Hexanchidae","Hexanchus","Hexanchus griseus"
"Black-necked stilt","Eukaryota","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus mexicanus"
"Pacific halibut","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus stenolepis"
"Barn swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"Harlequin duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Histrionicus","Histrionicus histrionicus"
"Human","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"Little gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Hydrocoloeus","Hydrocoloeus minutus"
"Spotted ratfish","Eukaryota","Chordata","Chondrichthyes","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus colliei"
"Caspian tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia"
"Wood thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Hylocichla","Hylocichla mustelina"
"Spotfin surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon anale"
"Walleye surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon argenteum"
"Silver surfperch","Eukaryota","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon ellipticum"
"Surf smelt","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus"
"Night snake","Eukaryota","Chordata","Reptilia","Squamata","Dipsadidae","Hypsiglena","Hypsiglena torquata"
"White catfish","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus","Ictalurus catus"
"Blue catfish","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus","Ictalurus furcatus"
"Channel catfish","Eukaryota","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus","Ictalurus punctatus"
"Yellow-breasted chat","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Icteria","Icteria virens"
"Bullock's oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus bullockii"
"Hooded oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus cucullatus"
"Baltimore oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus galbula"
"Scott's oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus parisorum"
"Streak-backed oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus pustulatus"
"Orchard oriole","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus spurius"
"Butter sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta","Isopsetta isolepis"
"Bonito shark","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Isurus","Isurus oxyrinchus"
"Least bittern","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Ixobrychus","Ixobrychus exilis"
"Varied thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Ixoreus","Ixoreus naevius"
"Dark-eyed junco","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"Striped marlin","Eukaryota","Chordata","Actinopterygii","Istiophoriformes","Istiophoridae","Kajikia","Kajikia audax"
"Skipjack tuna","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Katsuwonus","Katsuwonus pelamis"
"Pygmy sperm whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Physeteridae","Kogia","Kogia breviceps"
"Dwarf sperm whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Physeteridae","Kogia","Kogia sima"
"Pacific white-sided dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens"
"Salmon shark","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Lamna","Lamna ditropis"
"River lamprey","Eukaryota","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra ayresii"
"Western brook lamprey","Eukaryota","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra richardsoni"
"North Atlantic opah","Eukaryota","Chordata","Actinopterygii","Lampriformes","Lampridae","Lampris","Lampris guttatus"
"Common kingsnake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis getula"
"California mountain kingsnake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis zonata"
"Northern shrike","Eukaryota","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius excubitor"
"Loggerhead shrike","Eukaryota","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius ludovicianus"
"Herring gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus"
"Short-billed gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus brachyrhynchus"
"California gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus californicus"
"Mew gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus canus"
"Ring-billed gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus delawarensis"
"Lesser black-backed gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus"
"Glaucous-winged gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus glaucescens"
"Iceland gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus glaucoides"
"Heermann's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus heermanni"
"Glaucous gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus hyperboreus"
"Western gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus occidentalis"
"Bonaparte's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus philadelphia"
"Slaty-backed gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus schistisagus"
"Thayer's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus thayeri"
"Silver-haired bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans"
"Western red bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasiurus","Lasiurus blossevillii"
"Orange-crowned warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata"
"Lucy's warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis luciae"
"Tennessee warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis peregrina"
"Nashville warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis ruficapilla"
"Virginia's warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis virginiae"
"Sagebrush vole","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Lemmiscus","Lemmiscus curtatus"
"Rock sole","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata"
"Green sunfish","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Lepomis","Lepomis cyanellus"
"Pumpkinseed","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gibbosus"
"Warmouth","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gulosus"
"Bluegill","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Lepomis","Lepomis macrochirus"
"Redear sunfish","Eukaryota","Chordata","Actinopterygii","Centrarchiformes","Centrarchidae","Lepomis","Lepomis microlophus"
"Pacific staghorn sculpin","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Leptocottus","Leptocottus armatus"
"Snowshoe hare","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus americanus"
"Black-tailed jackrabbit","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus californicus"
"White-tailed jackrabbit","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus townsendii"
"White-headed woodpecker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Leuconotopicus","Leuconotopicus albolarvatus"
"Laughing gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus","Leucophaeus atricilla"
"Franklin's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus","Leucophaeus pipixcan"
"Black rosy-finch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Leucosticte","Leucosticte atrata"
"Gray-crowned rosy-finch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Leucosticte","Leucosticte tephrocotis"
"Short-billed dowitcher","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","Limnodromus griseus"
"Long-billed dowitcher","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","Limnodromus scolopaceus"
"Marbled godwit","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa fedoa"
"Hudsonian godwit","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa haemastica"
"Bar-tailed godwit","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica"
"Northern right whale dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lissodelphis","Lissodelphis borealis"
"American bullfrog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"Northern leopard frog","Eukaryota","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens"
"North American river otter","Eukaryota","Chordata","Mammalia","Carnivora","Mustelidae","Lontra","Lontra canadensis"
"Hooded merganser","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes cucullatus"
"Burbot","Eukaryota","Chordata","Actinopterygii","Gadiformes","Lotidae","Lota","Lota lota"
"Red crossbill","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia curvirostra"
"White-winged crossbill","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia leucoptera"
"Rainwater killifish","Eukaryota","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae","Lucania","Lucania parva"
"Jack snipe","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Lymnocryptes","Lymnocryptes minimus"
"Canada lynx","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx canadensis"
"Bobcat","Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"American wigeon","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca americana"
"Falcated duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca falcata"
"Eurasian wigeon","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope"
"Gadwall","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca strepera"
"Yellow-bellied marmot","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Marmota flaviventris"
